receiver_id,pair_id,condition,direction,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,recovery_denominator,normalized_recovery_g,valid,invalid_reasons,outcome,future_color_coordinate,future_r,future_g,future_b,fit_rmse,gravity_hat_e0,detector_coverage,max_missing_run,max_adjacent_y_jump,intervention_site,fm_calls_observed,fm_calls_expected,condition_prefix_tokens_edited,target_suffix_tokens_edited,intervention_scale,activation_delta_l2,generation_seed,output_video_path,output_video_sha256
eval_50000_high,eval_50000_high,natural_conflict,high,0.04551214046886443,0.06537975040105169,0.045512140468864426,0.01986760993218726,0.0,True,,E3_fail,-0.5296924630130132,165.86729702006784,46.97429356357928,50.99628965585936,0.006361287493167456,0.03802876827049937,1.0,0,0.01863098585891043,none,20,20,0,0,0.0,0.0,17050000,videos/recovery/eval_50000_high__natural_conflict.mp4,fe091dbf62be58527cd6559291f26d42f3ebc2444527ead26e95fa98d1b1a480
eval_50000_high,eval_50000_high,full_matched_edit,high,0.04551214046886443,0.06537975040105169,0.06495350913229048,0.01986760993218726,0.9785459212146768,True,,E3_pass,0.6214289200811858,46.48884291414216,92.08560080468368,199.11281754080943,0.0011639553145976447,0.06437301330989786,1.0,0,0.01418619711148672,after_block_1,20,20,1088,0,1.0,370.12793585412436,17050000,videos/recovery/eval_50000_high__full_matched_edit.mp4,d2e2c4028c580d960ed57459faa612826ea845bec1a99f3a1193f0cdfac25434
eval_50000_high,eval_50000_high,top2_oracle_projection,high,0.04551214046886443,0.06537975040105169,0.0649709913949332,0.01986760993218726,0.9794258590986195,True,,E3_pass,0.6202960012430863,46.65530964861192,92.34778325123153,199.09037541846007,0.001227042706512578,0.06428555819066124,1.0,0,0.014805771107044952,after_block_1,20,20,1088,0,1.0022815498887996,370.4386274195316,17050000,videos/recovery/eval_50000_high__top2_oracle_projection.mp4,d23c1529f941275b307fc31563fcc36038a07e4ae9e4d3e99c6f53ff12cc204b
eval_50000_high,eval_50000_high,fit_only_controller,high,0.04551214046886443,0.06537975040105169,0.06504689916848252,0.01986760993218726,0.9832465387781789,True,,E3_pass,0.6198872932527068,46.70068454213842,92.18827669902913,199.01951219512193,0.001235792066965657,0.06430431543621215,1.0,0,0.014932049408772352,after_block_1,20,20,1088,0,1.0022815498887996,370.7071838378906,17050000,videos/recovery/eval_50000_high__fit_only_controller.mp4,867da143e875cfe8b413c70480a64ef57515c409a62de691d0a4230ebc060fde
eval_50003_high,eval_50003_high,natural_conflict,high,0.04472196141257921,0.06421369918563438,0.04472196141257922,0.01949173777305517,0.0,True,,E3_fail,-0.534376421022492,167.8875239188672,47.608783190160096,50.94733514001807,0.00652848800642985,0.03788680210831676,1.0,0,0.020846378886433703,none,20,20,0,0,0.0,0.0,17050003,videos/recovery/eval_50003_high__natural_conflict.mp4,164bfe067f74af62443b95baec6ca3f5dd389dfc082a451f7af724298502ed0d
eval_50003_high,eval_50003_high,full_matched_edit,high,0.04472196141257921,0.06421369918563438,0.0635810602097748,0.01949173777305517,0.9675432235326846,True,,E3_pass,0.6171559876974857,47.054746550169895,92.72916053741297,198.76206153922323,0.0008651827567608457,0.06415002585068609,1.0,0,0.013281842972116098,after_block_1,20,20,1088,0,1.0,370.1266270339258,17050003,videos/recovery/eval_50003_high__full_matched_edit.mp4,d2cd6f082f9e447d4ebb8b268938399430e0ad2a4bc9f05226d68c6c920265cd
eval_50003_high,eval_50003_high,top2_oracle_projection,high,0.04472196141257921,0.06421369918563438,0.06342776034786834,0.01949173777305517,0.95967835977906,True,,E3_pass,0.6179225193359262,47.06268670649739,92.82660588682205,199.28884714836317,0.0008140475415939481,0.06399736637497253,1.0,0,0.012659523077134582,after_block_1,20,20,1088,0,1.0022815498887996,370.449197833177,17050003,videos/recovery/eval_50003_high__top2_oracle_projection.mp4,7e58639a2036dd3969910dce11df3a91f9e17964f205649ccbcefb0dee7e66b8
eval_50003_high,eval_50003_high,fit_only_controller,high,0.04472196141257921,0.06421369918563438,0.063448244868408,0.01949173777305517,0.960729293296541,True,,E3_pass,0.6177212865051009,47.086689427722035,92.79280679933666,199.26074120603016,0.0008002191233020529,0.06399498734045395,1.0,0,0.012536927378599239,after_block_1,20,20,1088,0,1.0022815498887996,370.6753234863281,17050003,videos/recovery/eval_50003_high__fit_only_controller.mp4,0c2fee777152e25f368507323610552ffbd8b69d631485960a0190093e2fd912
eval_50005_low,eval_50005_low,natural_conflict,low,0.014106756028437886,0.006862231475129824,0.014106756028437884,-0.007244524553308061,0.0,True,,E3_fail,0.5796100608627355,43.772624434389144,76.15315051369194,164.4751015897911,0.004641063668491036,0.035654708820409824,0.90625,6,0.007520971860765946,none,20,20,0,0,0.0,0.0,17050005,videos/recovery/eval_50005_low__natural_conflict.mp4,76f98a159bd1c28a88561a7a436e660d21285419d5563f816ac3e8370ddeb14e
eval_50005_low,eval_50005_low,full_matched_edit,low,0.014106756028437886,0.006862231475129824,0.00666164711035232,-0.007244524553308061,1.027687719642818,True,,E3_pass,-0.6049023866196258,201.09190469490176,47.936655244622116,49.50514889719534,0.00030484730388993184,0.006812539904077822,1.0,0,0.0020708516465541837,after_block_1,20,20,1088,0,1.0,374.9396902268905,17050005,videos/recovery/eval_50005_low__full_matched_edit.mp4,d46e1cbcd819c554baa43e52036624d66be98b84cc8968ba8b8fc77836601716
