receiver_id,pair_id,direction,split,history_regime,y_boundary,vy_boundary,x_boundary,vx_boundary,gravity_true,aligned_color,conflict_color,gravity_hat_aligned,gravity_hat_conflict,recovery_denominator,aligned_valid,conflict_valid,aligned_video_path,conflict_video_path,aligned_input_video_sha256,conflict_input_video_sha256,generation_seed
eval_50288_low,eval_50288_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.003063736618096823,red,blue,0.003203717091866532,0.015021985920547421,-0.01181826882868089,True,True,source:eval_50288_low_aligned.mp4,source:eval_50288_low_conflict.mp4,35a49e5fb0340bc2c4c6e17d654a618cea469f7af8bba8cc24b0655b73f9ca92,af5c169f42f6bac5ada58d62199f3ef60452e0b9b91776ec0e7a746aa374d1b6,17050288
eval_50144_low,eval_50144_low,low,train,hist32,0.65,0.0,0.5,0.0,0.0035365780907056937,red,blue,0.0033860871956682215,0.015143968003329917,-0.011757880807661696,True,True,source:eval_50144_low_aligned.mp4,source:eval_50144_low_conflict.mp4,f748ca5b8a3b5ae9ded946dd933e980c64ff633220e7f1bb45409929ca51725c,81b611550f27b829a64164a5a9235ce061860f88648eb54e0b4c9c4a69257461,17050144
eval_50142_low,eval_50142_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.003419693060143414,red,blue,0.0030716598287096595,0.014618796304525842,-0.011547136475816183,True,True,source:eval_50142_low_aligned.mp4,source:eval_50142_low_conflict.mp4,3863494f5a1c805a0811c8a14e22561bae3e9ac556fe54a1abbdfefadabea73e,908cadd4a27b91e113f0f90bae3da27fa0ad68a0605e708ce617f00f01618c02,17050142
eval_50292_low,eval_50292_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.003732307664588469,red,blue,0.003662082535451897,0.014286287997302681,-0.010624205461850784,True,True,source:eval_50292_low_aligned.mp4,source:eval_50292_low_conflict.mp4,ecf6f0b8645f25c8e6f172ca939584d92df9b3cf6f28d0d752ce599f375bc39b,fa483aabc1438dccca483067ce093ad8b5901c0be613f6565f458ebbeafdad9f,17050292
eval_50118_low,eval_50118_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.003650014233431919,red,blue,0.0034237917043662912,0.01411105079950164,-0.010687259095135349,True,True,source:eval_50118_low_aligned.mp4,source:eval_50118_low_conflict.mp4,4774b8fb79877bc09b2b253932c440dbfb03920d189b0cd15302f16dbdf93836,41b01810606147fd12cb389c72fbb2e720bf155e4fae5207b2b35d67d01c6668,17050118
eval_50221_low,eval_50221_low,low,train,hist32,0.65,0.0,0.5,0.0,0.0034507126417910017,red,blue,0.0035276711722007385,0.013428265986335947,-0.00990059481413521,True,True,source:eval_50221_low_aligned.mp4,source:eval_50221_low_conflict.mp4,7c4b8fb39d594fd96422cfad6e40fda7277668032a63110bc4e50c2e7ce14a82,2363d62be3047cb1446b296968fa1772ba4a7c12c5aa43bfed5e266988ffe963,17050221
eval_50284_low,eval_50284_low,low,train,hist32,0.65,0.0,0.5,0.0,0.004900928530228974,red,blue,0.004913979370736923,0.01464904528582075,-0.009735065915083828,True,True,source:eval_50284_low_aligned.mp4,source:eval_50284_low_conflict.mp4,c0f519b4e2e483748cc2c77789f01976e004dbc55fdf1a138612779bce15e350,d40866e14ea89e74f5d44b225a7ea1d0a5d63c1f6b30f68fa9ee32d53cdd645a,17050284
eval_50071_low,eval_50071_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.005281390764774366,red,blue,0.005301204886937605,0.014975096701406117,-0.009673891814468512,True,True,source:eval_50071_low_aligned.mp4,source:eval_50071_low_conflict.mp4,f9f62d5d6b72f050473fc4c8dc41e1f6e5a10ce5d2d3d1fa492e778842a02668,e33cda945438f4e0ff126b173196ad6c39b9a571cb58bc347ed5a4c16ad8a845,17050071
eval_50147_low,eval_50147_low,low,train,hist32,0.65,0.0,0.5,0.0,0.005561112980319833,red,blue,0.005430552754819663,0.015053931266350804,-0.00962337851153114,True,True,source:eval_50147_low_aligned.mp4,source:eval_50147_low_conflict.mp4,47a0878874f45b2762c3c6d6ce74b503078a71b098be653eda04cacd5c3c61d2,0ac1fd3c09abb701ce23372193705a0ef661cdeb2a834c2734798e3c6ca079d3,17050147
eval_50153_low,eval_50153_low,low,heldout,hist32,0.65,0.0,0.5,0.0,0.004825156577535588,red,blue,0.005319282263975514,0.014184984623688848,-0.008865702359713335,True,True,source:eval_50153_low_aligned.mp4,source:eval_50153_low_conflict.mp4,807213503708ecbf35774ef25aed64b4819269ad4a4bfb8967b566d51ed152bc,6b9d253c99947bf785106d7db90ba494f020f1abb30bf1c45e1643d8bdd8c1ee,17050153
eval_50295_low,eval_50295_low,low,train,hist32,0.65,0.0,0.5,0.0,0.016188035206049136,red,blue,0.01636274415987945,0.024901088691323292,-0.008538344531443844,True,True,source:eval_50295_low_aligned.mp4,source:eval_50295_low_conflict.mp4,e20a858b4bbdd828c6d6831397b53d80c6f8aa5263096142f9c03908e3eb698b,a47eb9d99ccdf102de2e858c0efb64956eda1656b64d3fd1e2570ef83b356181,17050295
eval_50077_low,eval_50077_low,low,train,hist32,0.65,0.0,0.5,0.0,0.0035135063064422093,red,blue,0.003303548727835502,0.012065441435687753,-0.008761892707852251,True,True,source:eval_50077_low_aligned.mp4,source:eval_50077_low_conflict.mp4,fee5856b3f7f04e7abbc3ec950472374a7af1ce7f06f6f43796482d8fe9dea46,3c2d29a127dd082dd7a6c3bb9e2488e74bdf52ce80cd9bb8252c92ecee661d7e,17050077
