sample_id,physical_state_id,history_regime,history_band,cue_u,omega_true,omega_hat,frequency_valid,appearance_r,appearance_g,appearance_b,appearance_hex,appearance_alpha_hat,color_valid,checkpoint_sha256,test_manifest_id,prediction_source
sample_0004bdb330fbfd414e13,traj_cbf50e9bf3e915cda3fc,short,low,0.4,2.784502445783048,3.187875,True,175.0,70.5,88.5,#AF4658,0.2766707732344066,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_0004bdb330fbfd414e13.mp4
sample_004bb26bc9aeb9e488ec,traj_7eb1f10fb7b5fbdc3a76,short,low,0.1,2.9871925339382104,2.8778750000000004,True,226.0,52.0,52.0,#E23434,0.0382326070706791,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_004bb26bc9aeb9e488ec.mp4
sample_00837ee5e534a48c6717,traj_166d8c107ba2c89f5f44,short,low,0.2,2.938368242257122,2.9050000000000002,True,217.0,54.0,56.0,#D93638,0.07195260374851195,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_00837ee5e534a48c6717.mp4
sample_00e3ce5a448166213bfb,traj_2b6df23bcb76e1181502,short,low,0.7,2.7600923222528033,5.1215,True,67.0,96.0,218.0,#4360DA,0.9089380138977325,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_00e3ce5a448166213bfb.mp4
sample_013e4ee2e964ad8da519,traj_60bba18e1b3a3cd997a3,short,low,0.0,2.23187215922204,2.544625,True,233.0,49.0,46.0,#E9312E,0.000664433432075524,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_013e4ee2e964ad8da519.mp4
sample_0165b7cecd5e85e019e1,traj_5f9b43832ff785370408,short,low,0.9,2.5292566842066853,5.23,True,50.0,95.0,231.5,#325FE8,0.9889814789180809,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_0165b7cecd5e85e019e1.mp4
sample_01e8648d02445df6da67,traj_96fd46fb0718ea1542c5,short,low,0.7,2.6579331699038335,5.39275,True,67.0,95.5,212.0,#4360D4,0.8867348633758756,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_01e8648d02445df6da67.mp4
sample_02424dee0b3a6653bc8d,traj_2b6df23bcb76e1181502,short,low,0.3,2.7600923222528033,2.637625,True,206.0,60.0,68.0,#CE3C44,0.13139171119293486,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_02424dee0b3a6653bc8d.mp4
sample_02476f101720037e4c08,traj_86bd1a8d46fddfaf4eee,short,low,0.3,2.579943992707457,2.6105,True,203.0,60.0,68.0,#CB3C44,0.14032003543644972,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_02476f101720037e4c08.mp4
sample_025c271fa7ef3663722a,traj_86bd1a8d46fddfaf4eee,short,low,0.5,2.579943992707457,5.272625000000001,True,129.0,92.75,139.0,#815D8B,0.5389108828659228,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_025c271fa7ef3663722a.mp4
sample_026816b6da921953e2e8,traj_cf574a4b63e26c0a024f,short,low,0.5,2.3602318343001634,3.16075,True,128.5,87.75,127.0,#80587F,0.5111915506215221,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_026816b6da921953e2e8.mp4
sample_02d8dfff4ac50a14a0a1,traj_7eb1f10fb7b5fbdc3a76,short,low,0.7,2.9871925339382104,5.086625,True,66.0,97.0,222.5,#4261DE,0.9210500816699427,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_02d8dfff4ac50a14a0a1.mp4
sample_030c3d19f46b8eb8a4f8,traj_4a2700dd375bd04903fa,short,low,0.5,2.9137462182801457,4.737875000000001,True,119.5,91.0,149.75,#785B96,0.5890548434428726,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_030c3d19f46b8eb8a4f8.mp4
sample_035ba7fe4e74ffb3ad11,traj_d92724e7718a74f441e1,short,low,0.7,2.557608340283051,4.9975000000000005,True,64.0,96.0,222.5,#4060DE,0.9258083940090251,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_035ba7fe4e74ffb3ad11.mp4
sample_03c4cb075a5520ea6e2b,traj_6c5a2f0afc3f4e3b8d20,short,low,0.8,2.5148577629304762,5.33075,True,56.0,98.0,227.0,#3862E3,0.9550676891558927,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_03c4cb075a5520ea6e2b.mp4
sample_0503937151a429d0d6e5,traj_6e219b806f5c7bbfc483,short,low,1.0,2.7035961929001853,4.97425,True,48.75,96.0,232.0,#3160E8,0.9910439910301486,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_0503937151a429d0d6e5.mp4
sample_05065c4a33670d7c3810,traj_f062f867d116d5fcc1d7,short,low,0.7,2.6787107304357534,5.3656250000000005,True,68.0,95.25,215.0,#445FD7,0.8960749979236455,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_05065c4a33670d7c3810.mp4
sample_051d1875f188ba3a6af4,traj_e8cd4a736b29e45fb67a,short,low,0.2,2.2978387178433266,2.3508750000000003,True,217.0,54.5,57.0,#D93639,0.07321225879682179,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_051d1875f188ba3a6af4.mp4
sample_05e806b8310c4a8667a7,traj_7b79e80e7f2c7caac5dd,short,low,0.3,2.4349678309776857,2.8778750000000004,True,208.0,56.75,63.0,#D0393F,0.1164904072423244,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_05e806b8310c4a8667a7.mp4
sample_064f4cca7953dab358cd,traj_f0a39f513bf057e7a6cc,short,low,0.6,2.358534303207702,5.543875,True,85.0,95.0,190.0,#555FBE,0.787076769746131,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_064f4cca7953dab358cd.mp4
sample_0683a8968bcc13238095,traj_cf574a4b63e26c0a024f,short,low,0.8,2.3602318343001634,5.8500000000000005,True,58.0,92.5,216.0,#3A5CD8,0.9200534315218294,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_0683a8968bcc13238095.mp4
sample_070a58d35c4dd87b5fce,traj_f0a39f513bf057e7a6cc,short,low,0.7,2.358534303207702,5.629125,True,68.0,95.0,208.0,#445FD0,0.8783048642064173,True,0dd907676adebe24fd44b1e8feae808a2c7864615ac965a742e422f0cd721392,frequency_color_circle__low_frequency_circle_11color_64states_54708cc06a2d,runs/pendulum/unified_mechanism_v2/behavior/large_seed3407/short/low_frequency_11color_64states/prediction/predictions/sample_070a58d35c4dd87b5fce.mp4
