history,direction,location,site_label,n,valid_n,valid_fraction,success_n,success_probability
short,high,0,embedding output,38,38,1.0,38,1.0
short,high,1,after block 0,38,38,1.0,38,1.0
short,high,2,after block 1,38,38,1.0,38,1.0
short,high,3,after block 2,38,38,1.0,38,1.0
short,high,4,after block 3,38,38,1.0,38,1.0
short,high,5,after block 4,38,38,1.0,38,1.0
short,high,6,after block 5,38,38,1.0,38,1.0
short,high,7,after block 6,38,38,1.0,38,1.0
short,high,8,after block 7,38,38,1.0,38,1.0
short,high,9,after block 8,38,38,1.0,38,1.0
short,high,10,after block 9,38,38,1.0,38,1.0
short,high,11,after block 10,38,38,1.0,38,1.0
short,high,12,after block 11,38,38,1.0,38,1.0
short,high,13,after block 12,38,38,1.0,38,1.0
short,high,14,after block 13,38,38,1.0,34,0.8947368421052632
short,high,15,after block 14,38,38,1.0,0,0.0
short,high,16,after block 15,38,38,1.0,0,0.0
short,high,17,after block 16,38,38,1.0,0,0.0
short,high,18,after block 17,38,38,1.0,0,0.0
short,high,19,after block 18,38,38,1.0,0,0.0
short,high,20,after block 19,38,38,1.0,0,0.0
short,high,21,after block 20,38,38,1.0,0,0.0
short,high,22,after block 21,38,38,1.0,0,0.0
short,high,23,after block 22,38,38,1.0,0,0.0
short,high,24,after block 23,38,38,1.0,0,0.0
short,high,25,after block 24,38,38,1.0,0,0.0
short,high,26,after block 25,38,38,1.0,0,0.0
short,high,27,after block 26,38,38,1.0,0,0.0
short,high,28,after block 27,38,38,1.0,0,0.0
short,high,29,after block 28,38,38,1.0,0,0.0
short,high,30,after block 29,38,38,1.0,0,0.0
short,low,0,embedding output,38,38,1.0,38,1.0
short,low,1,after block 0,38,38,1.0,38,1.0
short,low,2,after block 1,38,38,1.0,38,1.0
short,low,3,after block 2,38,38,1.0,38,1.0
short,low,4,after block 3,38,38,1.0,38,1.0
short,low,5,after block 4,38,38,1.0,38,1.0
short,low,6,after block 5,38,38,1.0,38,1.0
short,low,7,after block 6,38,38,1.0,38,1.0
short,low,8,after block 7,38,38,1.0,38,1.0
short,low,9,after block 8,38,38,1.0,38,1.0
short,low,10,after block 9,38,38,1.0,38,1.0
short,low,11,after block 10,38,38,1.0,38,1.0
short,low,12,after block 11,38,38,1.0,38,1.0
short,low,13,after block 12,38,38,1.0,38,1.0
short,low,14,after block 13,38,38,1.0,33,0.868421052631579
short,low,15,after block 14,38,38,1.0,7,0.18421052631578946
short,low,16,after block 15,38,38,1.0,0,0.0
short,low,17,after block 16,38,38,1.0,0,0.0
short,low,18,after block 17,38,38,1.0,0,0.0
short,low,19,after block 18,38,38,1.0,0,0.0
short,low,20,after block 19,38,38,1.0,0,0.0
short,low,21,after block 20,38,38,1.0,0,0.0
short,low,22,after block 21,38,38,1.0,0,0.0
short,low,23,after block 22,38,38,1.0,0,0.0
short,low,24,after block 23,38,38,1.0,0,0.0
short,low,25,after block 24,38,38,1.0,0,0.0
short,low,26,after block 25,38,38,1.0,0,0.0
short,low,27,after block 26,38,38,1.0,0,0.0
short,low,28,after block 27,38,38,1.0,0,0.0
short,low,29,after block 28,38,38,1.0,0,0.0
short,low,30,after block 29,38,38,1.0,0,0.0
long,high,0,embedding output,38,38,1.0,38,1.0
long,high,1,after block 0,38,38,1.0,38,1.0
long,high,2,after block 1,38,38,1.0,38,1.0
long,high,3,after block 2,38,38,1.0,38,1.0
long,high,4,after block 3,38,38,1.0,38,1.0
long,high,5,after block 4,38,38,1.0,38,1.0
long,high,6,after block 5,38,38,1.0,38,1.0
long,high,7,after block 6,38,38,1.0,38,1.0
long,high,8,after block 7,38,38,1.0,38,1.0
