receiver_id,pair_id,direction,target_label,condition,omega_true,omega_natural,omega_aligned,omega_edited,recovery_denominator,normalized_recovery,valid,outcome,invalid_reasons,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,fit_rmse,detected_color,detected_shape,intervention_layer_zero_based,fm_calls_observed,fm_calls_expected,intervention_scale,condition_prefix_tokens_edited,target_suffix_tokens_edited,activation_delta_l2,output_video_path
A_111,,A,high,top4_oracle,5.882238879230835,2.57175,5.8655,5.4625,3.2937499999999997,0.8776470588235296,True,physics,,0.96875,2,1.6861471860731645,0.0024466108057997205,1.5484021112399324,134.0,True,True,0.00933246690613772,blue,circle,12,20,20,1.0,1088,0,232.8964018055776,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_111/edit_rank_4.mp4
A_112,,A,high,top4_oracle,5.434802500900078,2.4787500000000002,5.288125,5.416,2.8093749999999997,1.0455172413793106,True,physics,,0.96875,2,1.9751481539352145,0.0020396165619691597,1.9337892753616326,137.5,True,True,0.006728673586377612,blue,circle,12,20,20,1.0,1088,0,240.38154774106553,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_112/edit_rank_4.mp4
A_116,,A,high,top4_oracle,5.344230077515669,2.967,5.37725,5.303625,2.41025,0.9694533762057879,True,physics,,0.96875,2,2.0042465285217865,0.002671989051692081,0.5892884588933098,131.0,True,True,0.008178820320040945,blue,circle,12,20,20,1.0,1088,0,228.02357271019304,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_116/edit_rank_4.mp4
A_120,,A,high,top4_oracle,6.166663144469958,2.8468750000000003,6.09025,5.7802500000000006,3.243375,0.90442054958184,False,invalid,max_missing_run_above_3,0.921875,5,1.7037227204233358,0.0019333726025038689,5.81228553747245,139.0,True,True,0.01419851842142703,blue,circle,12,20,20,1.0,1088,0,234.78201115871425,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_120/edit_rank_4.mp4
A_126,,A,high,top4_oracle,5.652435835427481,2.9941250000000004,5.667875,5.350125,2.67375,0.881159420289855,True,physics,,0.953125,2,2.2778006784042875,0.0034510731885155077,0.9596253209249378,125.0,True,True,0.01919535367495082,blue,circle,12,20,20,1.0,1088,0,230.47717862313908,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_126/edit_rank_4.mp4
A_128,,A,high,top4_oracle,5.265266964631235,2.57175,5.4121250000000005,5.29975,2.8403750000000003,0.9604365620736698,False,invalid,max_missing_run_above_3,0.9375,4,1.694033592105947,0.002029380759357796,4.363247140153202,137.0,True,True,0.005877284928767251,blue,circle,12,20,20,1.0,1088,0,241.38416802813845,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_128/edit_rank_4.mp4
A_129,,A,high,top4_oracle,6.14353775850582,2.513625,6.21425,5.846125,3.7006249999999996,0.900523560209424,False,invalid,max_missing_run_above_3,0.90625,6,1.6387472544346338,0.002291849642393401,0.3769581145235854,138.0,True,True,0.005869182383635849,blue,circle,12,20,20,1.0,1088,0,235.35328665287895,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_129/edit_rank_4.mp4
A_130,,A,high,top4_oracle,6.089384332994541,2.8778750000000004,5.9430000000000005,5.509,3.065125,0.8584070796460177,True,physics,,0.984375,1,1.8998228795901133,0.0019655888322698822,3.8769866343551223,149.0,True,True,0.012318019513325498,blue,circle,12,20,20,1.0,1088,0,234.8257437771473,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_130/edit_rank_4.mp4
A_135,,A,high,top4_oracle,5.6866721052969895,2.9398750000000002,5.757000000000001,5.57875,2.8171250000000003,0.936726272352132,True,physics,,0.984375,1,2.0561467569678435,0.0008534576232902547,3.7036130368384583,148.0,True,True,0.009522707879912367,blue,circle,12,20,20,1.0,1088,0,229.97803125188568,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_135/edit_rank_4.mp4
A_140,,A,high,top4_oracle,6.053334802415051,2.91275,5.915875,5.636875,3.003125,0.9070967741935484,True,physics,,0.9375,2,1.5511039544714202,0.0021326501011200982,2.4897485732619846,137.0,True,True,0.009504613104748217,blue,circle,12,20,20,1.0,1088,0,239.35500899680463,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_140/edit_rank_4.mp4
A_141,,A,high,top4_oracle,6.101122596394413,2.862375,5.946875,5.509,3.0845000000000002,0.8580402010050251,False,invalid,max_missing_run_above_3,0.90625,4,2.768717494598756,0.0018035460768394407,0.9370445262854687,139.0,True,True,0.010752600665606482,blue,circle,12,20,20,1.0,1088,0,232.4865535997653,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_141/edit_rank_4.mp4
A_142,,A,high,top4_oracle,6.1159539117823165,2.792625,6.09025,5.757000000000001,3.297625,0.8989424206815513,False,invalid,max_missing_run_above_3,0.9375,4,1.7821890703412135,0.0011616175962156083,3.693503689427051,145.5,True,True,0.007263557788795619,blue,circle,12,20,20,1.0,1088,0,231.60827657284412,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_142/edit_rank_4.mp4
A_144,,A,high,top4_oracle,5.611377880037573,2.637625,5.6446250000000004,5.50125,3.0070000000000006,0.9523195876288657,False,invalid,max_missing_run_above_3,0.90625,6,2.0598367808656626,0.001979833808288839,1.7499190467531385,141.5,True,True,0.008613368966625411,blue,circle,12,20,20,1.0,1088,0,229.59243280196804,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/A_144/edit_rank_4.mp4
