accepted_index,aligned_color,aligned_shape,aligned_video,amplitude_true,base_seed,candidate_id,conflict_color,conflict_shape,conflict_video,diffusion_repeat,direction,generation_seed,omega_true,phase,phase_index,receiver_id,split,target,target_label,test_manifest_id,theta_star,training_manifest_id
0,blue,circle,data/pendulum/strict_bank_128/videos/A/A_000_aligned.mp4,0.14238702211667476,50000000,A_000,red,circle,data/pendulum/strict_bank_128/videos/A/A_000_conflict.mp4,0,A,73000000,5.903332751930776,4.130670857818055,0,A_000,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.07328068337132271,frequency_color_circle__train_e273989068c3
1,blue,circle,data/pendulum/strict_bank_128/videos/A/A_002_aligned.mp4,0.10228110842640185,50000002,A_002,red,circle,data/pendulum/strict_bank_128/videos/A/A_002_conflict.mp4,0,A,73000002,5.967585685556493,5.941817932519622,2,A_002,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.10182331011297742,frequency_color_circle__train_e273989068c3
2,blue,circle,data/pendulum/strict_bank_128/videos/A/A_003_aligned.mp4,0.16255158410580167,50000003,A_003,red,circle,data/pendulum/strict_bank_128/videos/A/A_003_conflict.mp4,0,A,73000003,5.435452891061592,1.8941916327155113,3,A_003,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.14720113802442478,frequency_color_circle__train_e273989068c3
3,blue,circle,data/pendulum/strict_bank_128/videos/A/A_009_aligned.mp4,0.13951914116404845,50000009,A_009,red,circle,data/pendulum/strict_bank_128/videos/A/A_009_conflict.mp4,0,A,73000009,5.561586512038221,4.609254900897641,9,A_009,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.12766593747067606,frequency_color_circle__train_e273989068c3
4,blue,circle,data/pendulum/strict_bank_128/videos/A/A_011_aligned.mp4,0.11171668369874851,50000011,A_011,red,circle,data/pendulum/strict_bank_128/videos/A/A_011_conflict.mp4,0,A,73000011,5.932983984221261,4.93487271420363,11,A_011,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.03919557996378367,frequency_color_circle__train_e273989068c3
5,blue,circle,data/pendulum/strict_bank_128/videos/A/A_016_aligned.mp4,0.11326747376647578,50000016,A_016,red,circle,data/pendulum/strict_bank_128/videos/A/A_016_conflict.mp4,0,A,73000016,5.419461373806479,5.29888596162886,16,A_016,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.09016945598517852,frequency_color_circle__train_e273989068c3
6,blue,circle,data/pendulum/strict_bank_128/videos/A/A_019_aligned.mp4,0.15077085549090705,50000019,A_019,red,circle,data/pendulum/strict_bank_128/videos/A/A_019_conflict.mp4,0,A,73000019,5.872104775403887,4.646551830307661,19,A_019,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.018746122428508292,frequency_color_circle__train_e273989068c3
7,blue,circle,data/pendulum/strict_bank_128/videos/A/A_021_aligned.mp4,0.13253674935897825,50000021,A_021,red,circle,data/pendulum/strict_bank_128/videos/A/A_021_conflict.mp4,0,A,73000021,5.976405941229569,2.1568741513615586,21,A_021,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.10053021795158232,frequency_color_circle__train_e273989068c3
8,blue,circle,data/pendulum/strict_bank_128/videos/A/A_023_aligned.mp4,0.1280820762312383,50000023,A_023,red,circle,data/pendulum/strict_bank_128/videos/A/A_023_conflict.mp4,0,A,73000023,6.103609185978564,0.2783744488568244,23,A_023,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.07341902179962922,frequency_color_circle__train_e273989068c3
9,blue,circle,data/pendulum/strict_bank_128/videos/A/A_029_aligned.mp4,0.14159443585841383,50000029,A_029,red,circle,data/pendulum/strict_bank_128/videos/A/A_029_conflict.mp4,0,A,73000029,5.420678093143041,4.675842542814985,29,A_029,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.14152700132469032,frequency_color_circle__train_e273989068c3
10,blue,circle,data/pendulum/strict_bank_128/videos/A/A_038_aligned.mp4,0.14330919215068122,50000038,A_038,red,circle,data/pendulum/strict_bank_128/videos/A/A_038_conflict.mp4,0,A,73000038,6.288505378158094,1.9453031162156194,38,A_038,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.14288045389182605,frequency_color_circle__train_e273989068c3
11,blue,circle,data/pendulum/strict_bank_128/videos/A/A_044_aligned.mp4,0.15252717549520584,50000044,A_044,red,circle,data/pendulum/strict_bank_128/videos/A/A_044_conflict.mp4,0,A,73000044,5.898060334140399,3.6378034798127166,44,A_044,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.1323320441114661,frequency_color_circle__train_e273989068c3
