seed,step_k,selected_site_index,selected_site_label,selected_fast_strong_rate,selected_slow_strong_rate,selected_fast_median_recovery,selected_slow_median_recovery,selected_fast_valid_rate,selected_slow_valid_rate,next_site_index,next_site_label,next_fast_strong_rate,next_slow_strong_rate
3410,50,10,after_block_10,0.828125,0.859375,1.004114189296534,0.9054172386046291,1,1,11,after_block_11,0,0.03125
3411,50,7,after_block_07,0.8828125,1,1.0540249382412445,1.0040692138924536,1,1,8,after_block_08,0,0
3412,50,9,after_block_09,0.8671875,0.828125,0.9126608360185002,0.9908581322512393,1,1,10,after_block_10,0.015625,0.0625
3413,50,8,after_block_08,0.7578125,0.9921875,1.028064196734901,0.9694371248719075,1,1,9,after_block_09,0.59375,0.890625
3414,50,1,after_block_01,0.8671875,0.984375,0.9525731324867617,0.9503593604850145,1,1,2,after_block_02,0.1640625,0.4921875
3415,50,11,after_block_11,0.8671875,0.984375,1.0025179942997922,1.0143128595578503,1,1,12,after_block_12,0.4140625,0.5390625
3416,50,7,after_block_07,0.78125,0.9921875,0.9382081436519981,0.9756705182072829,1,1,8,after_block_08,0.5390625,0.9375
3417,50,8,after_block_08,0.9921875,0.9921875,0.9851992191016294,0.9161544410974518,1,1,9,after_block_09,0,0
3418,50,6,after_block_06,0.953125,0.96875,0.9643837585339562,0.9724200478746337,1,1,7,after_block_07,0.546875,0.515625
3419,50,3,after_block_03,0.84375,0.96875,0.9687122524462755,1.0055353568364722,1,1,4,after_block_04,0.375,0.7734375
3420,50,6,after_block_06,0.796875,0.8359375,0.9225292902204735,0.9488965128782836,1,1,7,after_block_07,0.7265625,0.7578125
3421,50,2,after_block_02,0.7734375,0.8359375,0.8529459155360382,0.8725022632627195,1,1,3,after_block_03,0.625,0.8359375
