seed,layer,direction,arm,n,valid_rate,median_recovery,mean_recovery,strong_recovery_rate,target_mode_rate,paired_median_abs_R_gap_vs_full
3407,3,true_fast_red_conflict,full_d,64,1.0,0.9902227268556749,0.9836687138358702,1.0,1.0,
3407,3,true_fast_red_conflict,top4_oracle,64,1.0,1.0045910806750242,1.043476797471008,0.90625,0.96875,0.019208362462132644
3407,3,true_fast_red_conflict,predicted_3d,64,1.0,1.0048393265530726,1.0451039163409073,0.875,0.96875,0.02890435464503638
3407,3,true_fast_red_conflict,predicted_4d,64,1.0,0.9984773863248686,1.0426462861070236,0.90625,0.96875,0.02718750095865652
3407,3,true_slow_blue_conflict,full_d,64,1.0,0.9807650923665612,0.9718895534024751,1.0,0.984375,
3407,3,true_slow_blue_conflict,top4_oracle,64,1.0,0.9786762179966456,0.9765576613776059,1.0,0.984375,0.005606351422090428
3407,3,true_slow_blue_conflict,predicted_3d,64,1.0,0.9766363636363636,0.9706746506380627,1.0,0.9375,0.01645387700534756
3407,3,true_slow_blue_conflict,predicted_4d,64,1.0,0.9748923830622649,0.967804853753666,1.0,0.9375,0.01518727503298456
3408,6,true_fast_red_conflict,full_d,64,1.0,0.9293144029608758,0.8937744745298332,0.890625,0.796875,
3408,6,true_fast_red_conflict,top4_oracle,64,1.0,0.9096309431763425,0.8729498341604043,0.828125,0.734375,0.021506825058319023
3408,6,true_fast_red_conflict,predicted_3d,64,1.0,0.89214598615088,0.8051675343047876,0.703125,0.6875,0.03530149107604208
3408,6,true_fast_red_conflict,predicted_4d,64,1.0,0.9098738341941549,0.8573345368398271,0.765625,0.734375,0.032845751370931375
3408,6,true_slow_blue_conflict,full_d,64,1.0,0.9822916666666667,0.9682101274198055,0.96875,0.78125,
3408,6,true_slow_blue_conflict,top4_oracle,64,1.0,0.9983416252072967,0.9864186581230594,0.9375,0.890625,0.033431952662721864
3408,6,true_slow_blue_conflict,predicted_3d,64,1.0,0.9382685791360991,0.8220508774240797,0.75,0.59375,0.03217249675605538
3408,6,true_slow_blue_conflict,predicted_4d,64,1.0,0.980894065715721,0.9058807323922818,0.875,0.6875,0.029043830974088358
3409,4,true_fast_red_conflict,full_d,64,1.0,1.0017985438218413,1.012474884627937,0.75,0.515625,
3409,4,true_fast_red_conflict,top4_oracle,64,1.0,1.0116580733585694,1.0127927909886776,0.6875,0.40625,0.013513966792762178
3409,4,true_fast_red_conflict,predicted_3d,64,1.0,0.9865574907744338,0.9660621241057965,0.6875,0.390625,0.02240684410646382
3409,4,true_fast_red_conflict,predicted_4d,64,1.0,1.0088391739674594,0.9987765415294381,0.71875,0.4375,0.01732449477171155
3409,4,true_slow_blue_conflict,full_d,64,1.0,0.9656670249118164,0.9706604915298764,0.9375,0.734375,
3409,4,true_slow_blue_conflict,top4_oracle,64,1.0,0.9521891943008448,0.948372254871733,0.90625,0.734375,0.01326503808773316
3409,4,true_slow_blue_conflict,predicted_3d,64,1.0,0.9446486086910608,0.9471119499157741,0.890625,0.703125,0.020189979742082143
3409,4,true_slow_blue_conflict,predicted_4d,64,1.0,0.9493202293202292,0.9498773547152529,0.890625,0.703125,0.020189979742082143
