checkpoint,site_after_block,near_aligned_recovery_rate,n_checkpoint_local_strict_pairs
5K,0,1.0,128
5K,1,1.0,128
5K,2,1.0,128
5K,3,1.0,128
5K,4,0.9921875,128
5K,5,0.9921875,128
5K,6,0.9921875,128
5K,7,0.984375,128
5K,8,0.984375,128
5K,9,0.6015625,128
5K,10,0.140625,128
5K,11,0.0078125,128
5K,12,0.0,128
5K,13,0.0,128
5K,14,0.0,128
5K,15,0.0,128
5K,16,0.0,128
5K,17,0.0,128
5K,18,0.0,128
5K,19,0.0,128
5K,20,0.0,128
5K,21,0.0,128
5K,22,0.0,128
5K,23,0.0,128
5K,24,0.0,128
5K,25,0.0,128
5K,26,0.0,128
5K,27,0.0,128
5K,28,0.0,128
5K,29,0.0,128
10K,0,1.0,128
10K,1,1.0,128
10K,2,1.0,128
10K,3,1.0,128
10K,4,0.953125,128
10K,5,0.953125,128
10K,6,0.984375,128
10K,7,0.9765625,128
10K,8,0.9765625,128
10K,9,0.609375,128
10K,10,0.21875,128
10K,11,0.09375,128
10K,12,0.0234375,128
10K,13,0.0234375,128
10K,14,0.0234375,128
10K,15,0.015625,128
10K,16,0.015625,128
10K,17,0.015625,128
10K,18,0.0,128
10K,19,0.0,128
10K,20,0.0,128
10K,21,0.0,128
10K,22,0.0,128
10K,23,0.0,128
10K,24,0.0,128
10K,25,0.0,128
10K,26,0.0,128
10K,27,0.0,128
10K,28,0.0,128
10K,29,0.0,128
20K,0,1.0,128
20K,1,1.0,128
20K,2,0.9921875,128
20K,3,0.9921875,128
20K,4,0.796875,128
20K,5,0.796875,128
20K,6,0.796875,128
20K,7,0.765625,128
20K,8,0.765625,128
20K,9,0.3203125,128
20K,10,0.1484375,128
20K,11,0.03125,128
20K,12,0.0234375,128
20K,13,0.0234375,128
20K,14,0.015625,128
20K,15,0.015625,128
20K,16,0.015625,128
20K,17,0.015625,128
20K,18,0.015625,128
20K,19,0.015625,128
20K,20,0.0,128
20K,21,0.0,128
20K,22,0.0,128
20K,23,0.0,128
20K,24,0.0,128
20K,25,0.0,128
20K,26,0.0,128
20K,27,0.0,128
20K,28,0.0,128
20K,29,0.0,128
50K,0,1.0,128
50K,1,1.0,128
50K,2,0.9921875,128
50K,3,0.9921875,128
50K,4,0.6171875,128
50K,5,0.6171875,128
50K,6,0.578125,128
50K,7,0.515625,128
50K,8,0.546875,128
50K,9,0.140625,128
50K,10,0.046875,128
50K,11,0.015625,128
50K,12,0.0078125,128
50K,13,0.0078125,128
50K,14,0.0078125,128
50K,15,0.0078125,128
50K,16,0.0078125,128
50K,17,0.0078125,128
50K,18,0.0078125,128
50K,19,0.0078125,128
50K,20,0.0,128
50K,21,0.0,128
50K,22,0.0,128
50K,23,0.0,128
50K,24,0.0,128
50K,25,0.0,128
50K,26,0.0,128
50K,27,0.0,128
50K,28,0.0,128
50K,29,0.0,128
80K,0,1.0,128
80K,1,1.0,128
80K,2,1.0,128
80K,3,1.0,128
80K,4,0.6328125,128
80K,5,0.640625,128
80K,6,0.5625,128
80K,7,0.546875,128
80K,8,0.5625,128
80K,9,0.1484375,128
80K,10,0.0859375,128
80K,11,0.0390625,128
80K,12,0.0234375,128
80K,13,0.0234375,128
80K,14,0.0234375,128
80K,15,0.015625,128
80K,16,0.015625,128
80K,17,0.0078125,128
80K,18,0.0078125,128
80K,19,0.0078125,128
80K,20,0.0,128
80K,21,0.0,128
80K,22,0.0,128
80K,23,0.0,128
80K,24,0.0,128
80K,25,0.0,128
80K,26,0.0,128
80K,27,0.0,128
80K,28,0.0,128
80K,29,0.0,128
100K,0,1.0,128
100K,1,1.0,128
100K,2,1.0,128
100K,3,1.0,128
100K,4,0.53125,128
100K,5,0.515625,128
100K,6,0.4609375,128
100K,7,0.3984375,128
100K,8,0.421875,128
100K,9,0.078125,128
100K,10,0.0390625,128
100K,11,0.015625,128
100K,12,0.015625,128
100K,13,0.0078125,128
100K,14,0.0,128
100K,15,0.0078125,128
100K,16,0.0,128
100K,17,0.0,128
100K,18,0.0,128
100K,19,0.0,128
100K,20,0.0,128
100K,21,0.0,128
100K,22,0.0,128
100K,23,0.0,128
100K,24,0.0,128
100K,25,0.0,128
100K,26,0.0,128
100K,27,0.0,128
100K,28,0.0,128
100K,29,0.0,128
