seed,step,history,direction,site_after_block,strong_rewrite_rate,n_strict_pairs,last_after_block_rate_at_least_0.75,max_one_block_drop,max_drop_after_block
3407,50000,Short,fast-target,0,1.0,128,3,0.40625,8
3407,50000,Short,fast-target,1,1.0,128,3,0.40625,8
3407,50000,Short,fast-target,2,0.9921875,128,3,0.40625,8
3407,50000,Short,fast-target,3,0.9921875,128,3,0.40625,8
3407,50000,Short,fast-target,4,0.6171875,128,3,0.40625,8
3407,50000,Short,fast-target,5,0.6171875,128,3,0.40625,8
3407,50000,Short,fast-target,6,0.578125,128,3,0.40625,8
3407,50000,Short,fast-target,7,0.515625,128,3,0.40625,8
3407,50000,Short,fast-target,8,0.546875,128,3,0.40625,8
3407,50000,Short,fast-target,9,0.140625,128,3,0.40625,8
3407,50000,Short,fast-target,10,0.046875,128,3,0.40625,8
3407,50000,Short,fast-target,11,0.015625,128,3,0.40625,8
3407,50000,Short,fast-target,12,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,13,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,14,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,15,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,16,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,17,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,18,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,19,0.0078125,128,3,0.40625,8
3407,50000,Short,fast-target,20,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,21,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,22,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,23,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,24,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,25,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,26,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,27,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,28,0.0,128,3,0.40625,8
3407,50000,Short,fast-target,29,0.0,128,3,0.40625,8
3407,50000,Long,fast-target,0,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,1,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,2,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,3,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,4,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,5,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,6,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,7,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,8,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,9,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,10,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,11,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,12,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,13,1.0,128,16,0.578125,16
3407,50000,Long,fast-target,14,1.0,128,16,0.578125,16
