seed,layer,relative_layer,N,global_projection,global_projection_ci_low,global_projection_ci_high,global_semantic_cosine,global_semantic_cosine_ci_low,global_semantic_cosine_ci_high,global_norm_ratio,global_norm_ratio_ci_low,global_norm_ratio_ci_high,global_orthogonal_ratio,global_orthogonal_ratio_ci_low,global_orthogonal_ratio_ci_high
3407,4,0,8,0.7232146592225985,0.6534949899186642,0.7884127064920768,0.8360537849830876,0.7890601524957597,0.8846081685393451,0.8617093645056728,0.8209532259590169,0.899333254027844,0.453872382443006,0.390862901074722,0.5072345161648213
3407,5,1,8,0.7100652258916413,0.6377507124125317,0.7777265341448021,0.8301326708894052,0.7804614070071163,0.8818475423247578,0.8517079113881166,0.8087502489430196,0.8905689437592444,0.45550502401424103,0.3930967859041234,0.508243641409404
3407,6,2,8,0.6843418854663481,0.6108438610547695,0.7536248416961969,0.8117538484228786,0.7577601881435928,0.8675096542627091,0.8389451667133091,0.7947495389487333,0.8787702389367115,0.47062384373440985,0.4088639217806344,0.5226388348640896
3407,7,3,8,0.6864736516456194,0.6146349936148834,0.7526476613980423,0.8168991327744402,0.7660355790284913,0.8676728246684566,0.8366426270635705,0.7928535661573672,0.8742408471965247,0.46482791192709627,0.40675818649672574,0.5148757188917232
3407,8,4,8,0.6825879466683773,0.6059896500903014,0.752813140197874,0.8175883725694477,0.7615888531050258,0.8722599469393447,0.8306264867085911,0.7822734609553277,0.8721693960804264,0.45783317037967475,0.3991098265765082,0.5128270206572786
3407,9,5,8,0.5956590385661662,0.4952680668606513,0.68053615169303,0.7762387498201067,0.7014213270558809,0.8462763292775619,0.7592599493480502,0.6939252455559716,0.8193111538536128,0.4532477068496251,0.39361831552318866,0.5089056202392135
3407,10,6,8,0.578057952955291,0.48135119331040166,0.6612572427151655,0.7751430273575299,0.7020642148717449,0.8456004274292835,0.7378062986929836,0.668437412713849,0.7991060102564589,0.4419977969707246,0.3841340246899418,0.4960718408688611
3407,11,7,8,0.5346027893658518,0.4286561503871501,0.6286483211898338,0.7504748540462282,0.6691507365070475,0.8306601709003899,0.7009736364989301,0.6217469128123176,0.7716688187110543,0.4362814429329419,0.3779960629359043,0.4889404175612346
3407,12,8,8,0.47202717288526824,0.35796300336736614,0.5786770350680748,0.6838056492355019,0.5810065574851795,0.783954898271935,0.6708048965716039,0.584597259725474,0.7486662052876742,0.4571997932131054,0.3982963779635896,0.5111270749519391
3407,13,9,8,0.4735755203757142,0.35763254890515206,0.5772166479654942,0.6945226820528692,0.5994030644875687,0.7868041707554596,0.6649426858199532,0.5654402100158717,0.7496243956145199,0.4507273552637937,0.3883193159109749,0.5073276093773094
3407,14,10,8,0.4651582822510169,0.3505105400853027,0.5694604114227696,0.6792249332930382,0.5812200586714309,0.7753841865025585,0.6656756846794006,0.5698217048016438,0.7502873867940612,0.45936595045411527,0.3995806206651566,0.5157505553119168
3407,15,11,8,0.4617459382265853,0.3557469410689282,0.5573998377402107,0.6591575274653181,0.5658685338558028,0.7497076991620206,0.6841431294606443,0.5938204649138702,0.7594629436296244,0.49051887807210665,0.4289735924151955,0.5480909988728987
3407,16,12,8,0.46052749706543933,0.3551112764900612,0.5563329608251855,0.6539900707849127,0.5614470692835937,0.7466623457801369,0.6875145281409191,0.6000896251481573,0.761365449840015,0.4964034760954068,0.43614826915666155,0.5516418763912557
3407,17,13,8,0.46147428411113056,0.3547865471378731,0.5551344274470199,0.6567726889570217,0.5654711313783477,0.7466717449481015,0.6864918674455105,0.5965507582124882,0.7596168688214089,0.4944669484228631,0.43445975414371074,0.5510191166130618
3407,18,14,8,0.45950464510528843,0.3550615305862975,0.5556917893395744,0.6512245682483133,0.5586683517612184,0.7444976746476508,0.6886561284751016,0.6002132278012924,0.7627550484404342,0.49913992348561287,0.44041209236232814,0.5536131084032425
3407,19,15,8,0.4576159765986839,0.35220836075184736,0.5517052827137356,0.6474809545300783,0.5529724153406519,0.7377988482055307,0.6900262329621663,0.6013370287997903,0.7621378295423543,0.502822207509095,0.4444568416447239,0.5574804415099064
3407,20,16,8,0.4463913022789766,0.33784251942344085,0.5411572870701904,0.6388004317755056,0.5404837835493311,0.7322408881720727,0.6794253129274114,0.5880583685050771,0.7570880974447894,0.49869255124788114,0.440933734915424,0.5542400822955225
3407,21,17,8,0.44664371144596765,0.3371521729574336,0.5421139091193915,0.6357955492363746,0.5376571523890288,0.7296258794971825,0.6831732847440122,0.5918706234617509,0.7601586591292426,0.5035768570362047,0.44552440569103086,0.55828362118694
3407,22,18,8,0.4475656178803349,0.3412104599579962,0.5422890059043405,0.6361470341989491,0.5398520866501797,0.7274491289252845,0.6854743390376117,0.5966126177583163,0.7597323318613081,0.5064046143722486,0.45072317182223876,0.5593135577568016
3407,23,19,8,0.44776492373409865,0.34676646850026377,0.5395183121771876,0.6344988548286981,0.5416890081302431,0.72390691613785,0.6884591600781553,0.6018288480340537,0.760658190820538,0.5106259760064266,0.4549818422457356,0.5622688408832057
3407,24,20,8,0.44310297012107014,0.34251147705202906,0.5346644094440202,0.6271780673773167,0.5354438418123283,0.717480376674847,0.6889491472701827,0.6035930149639953,0.7618323738317335,0.515190049501911,0.45840109796372486,0.5684169813341095
3407,25,21,8,0.442304388053696,0.3374844679597003,0.5347994042010256,0.6252921857097827,0.5285947143468571,0.7169149251892459,0.6890675136694157,0.6005319801057809,0.7627328364638437,0.51573596344479,0.4586444989499343,0.5696251327509344
